Nazwa,Znizka %,Cena,Cena pierwotna,Tagi,Opinie,% pozytywnych,AppID,Link
Deathsmiles,45,"10,72€","19,50€","Shoot 'Em Up, Bullet Hell, Action, Arcade",Overwhelmingly Positive,96,314180,https://store.steampowered.com/app/314180/Deathsmiles/
"Love, Ghostie",45,"10,72€","19,50€","Dating Sim, Visual Novel, Simulation, Cozy",Overwhelmingly Positive,96,1789490,https://store.steampowered.com/app/1789490/Love_Ghostie/
ENDER MAGNOLIA: Bloom in the Mist,45,"13,74€","24,99€","Metroidvania, 2D, Female Protagonist, Dark Fantasy",Overwhelmingly Positive,97,2725260,https://store.steampowered.com/app/2725260/ENDER_MAGNOLIA_Bloom_in_the_Mist/
LISA: Complete Edition,45,"19,24€","34,99€","RPG, Indie, Adventure, Dark Humor",Overwhelmingly Positive,95,"335670,336370,379310",https://store.steampowered.com/sub/77828/
LISA: The Painful,45,"10,99€","19,99€","Dark Humor, RPG, Story Rich, Post-apocalyptic",Overwhelmingly Positive,95,335670,https://store.steampowered.com/app/335670/LISA_The_Painful/
Nova Drift,45,"9,34€","16,99€","Action Roguelike, Arena Shooter, Bullet Hell, Shoot 'Em Up",Overwhelmingly Positive,96,858210,https://store.steampowered.com/app/858210/Nova_Drift/
Intravenous 2,45,"10,94€","19,90€","Tactical, Shooter, Stealth, Realistic",Overwhelmingly Positive,96,2608270,https://store.steampowered.com/app/2608270/Intravenous_2/
Shattered Pixel Dungeon,45,"5,36€","9,75€","Traditional Roguelike, Dungeon Crawler, Roguelike, Turn-Based",Overwhelmingly Positive,95,1769170,https://store.steampowered.com/app/1769170/Shattered_Pixel_Dungeon/
Nyakori's Rabbit Doll,45,"1,64€","2,99€","Indie, RPG, Horror, Cute",Overwhelmingly Positive,95,1162070,https://store.steampowered.com/app/1162070/Nyakoris_Rabbit_Doll/
Kathy Rain 2: Soothsayer,45,"10,99€","19,99€","Atmospheric, Investigation, 2D, Mystery",Overwhelmingly Positive,95,1466390,https://store.steampowered.com/app/1466390/Kathy_Rain_2_Soothsayer/
GIRLS MADE PUDDING,45,"5,36€","9,75€","Indie, Adventure, Crafting, Motorbike",Overwhelmingly Positive,95,3337210,https://store.steampowered.com/app/3337210/GIRLS_MADE_PUDDING/
Conbunn Cardboard,45,"3,84€","6,99€","Adventure, 2.5D, Cute, Anime",Very Positive,98,2004590,https://store.steampowered.com/app/2004590/Conbunn_Cardboard/
Scarmonde,45,"7,58€","13,79€","Adventure, RPG, JRPG, Party-Based RPG",Very Positive,98,2769210,https://store.steampowered.com/app/2769210/Scarmonde/
Geneforge 2 - Infestation,45,"10,72€","19,50€","Adventure, RPG, Strategy, Party-Based RPG",Very Positive,98,2480560,https://store.steampowered.com/app/2480560/Geneforge_2__Infestation/
An Architect's Adventure,45,"5,36€","9,75€","Sokoban, Puzzle, Logic, 3D",Very Positive,98,1747510,https://store.steampowered.com/app/1747510/An_Architects_Adventure/
Elroy and the Aliens,45,"9,89€","17,99€","Adventure, Point & Click, Puzzle, Sci-fi",Very Positive,97,1082190,https://store.steampowered.com/app/1082190/Elroy_and_the_Aliens/
突然＊恋人,45,"15,94€","28,99€","Casual, Adventure, Interactive Fiction, Sexual Content",Very Positive,97,2510810,https://store.steampowered.com/app/2510810/_/
Lingua Fleur: Lily,45,"2,74€","4,99€","Relaxing, Visual Novel, Female Protagonist, LGBTQ+",Very Positive,97,986280,https://store.steampowered.com/app/986280/Lingua_Fleur_Lily/
NOeSIS Ⅱ-人间无常「重置版」,45,"1,32€","2,40€","Anime, Cute, FPS, Casual",Very Positive,97,1625230,https://store.steampowered.com/app/1625230/NOeSIS_II/
Aoi Tori,45,"15,94€","28,99€","Visual Novel, Story Rich, Vampires, Romance",Very Positive,97,2741260,https://store.steampowered.com/app/2741260/Aoi_Tori/
Valley Peaks,45,"8,13€","14,79€","Cozy, Parkour, Exploration, Open World",Very Positive,97,2107550,https://store.steampowered.com/app/2107550/Valley_Peaks/
LUNAR LICH/月球巫妖,45,"1,64€","2,99€","Puzzle, Exploration, Adventure, Thriller",Very Positive,97,1577880,https://store.steampowered.com/app/1577880/LUNAR_LICH/
Square Logic,45,"1,64€","2,99€","Puzzle, Logic, Casual, Minimalist",Very Positive,97,2614980,https://store.steampowered.com/app/2614980/Square_Logic/
Spirits Abyss,45,"4,39€","7,99€","Platformer, Roguelike, Action Roguelike, Indie",Very Positive,96,1078200,https://store.steampowered.com/app/1078200/Spirits_Abyss/
For Sale,45,"3,23€","5,89€","Exploration, Walking Simulator, Psychological Horror, Mystery",Very Positive,96,2657900,https://store.steampowered.com/app/2657900/For_Sale/
