Nazwa,Znizka %,Cena,Cena pierwotna,Tagi,Opinie,% pozytywnych,AppID,Link
Schizo Dark,95,"1,99€","39,99€","Action, Hidden Object, Shooter, Horror",Very Positive,96,3505850,https://store.steampowered.com/app/3505850/Schizo_Dark/
Master of 4 Swords,95,"1,99€","39,99€","Adventure, Casual, Sports, Bullet Hell",Very Positive,94,3850520,https://store.steampowered.com/app/3850520/Master_of_4_Swords/
Roata Mai,95,"1,99€","39,99€","Adventure, Casual, Sports, Anime",Very Positive,94,3862690,https://store.steampowered.com/app/3862690/Roata_Mai/
Grab and Guts,95,"1,49€","29,99€","Spectacle fighter, Casual, Side Scroller, Shoot 'Em Up",Very Positive,94,3113780,https://store.steampowered.com/app/3113780/Grab_and_Guts/
TurboJoy,95,"1,99€","39,99€","Action, Adventure, Casual, Simulation",Very Positive,93,4162770,https://store.steampowered.com/app/4162770/TurboJoy/
Speed Vortex,95,"1,99€","39,99€","Strategy, Casual, Sports, Choices Matter",Very Positive,93,4164480,https://store.steampowered.com/app/4164480/Speed_Vortex/
Agent A: A puzzle in disguise,93,"1,17€","16,79€","Espionage, Wholesome, Escape Room, Puzzle",Overwhelmingly Positive,95,801480,https://store.steampowered.com/app/801480/Agent_A_A_puzzle_in_disguise/
Blue Estate The Game,92,"1,03€","12,99€","On-Rails Shooter, Action, Comedy, Quick-Time Events",Very Positive,92,305380,https://store.steampowered.com/app/305380/Blue_Estate_The_Game/
Attentat 1942,92,"0,71€","8,99€","Historical, Cinematic, Story Rich, World War II",Very Positive,92,676630,https://store.steampowered.com/app/676630/Attentat_1942/
DISTRAINT 2,91,"0,79€","8,79€","Psychological Horror, Horror, Story Rich, Atmospheric",Overwhelmingly Positive,95,743390,https://store.steampowered.com/app/743390/DISTRAINT_2/
Half-Life: Alyx - Final Hours,91,"0,73€","8,19€","Action, 2D, 3D, Singleplayer",Overwhelmingly Positive,95,1361700,https://store.steampowered.com/app/1361700/HalfLife_Alyx__Final_Hours/
Golden Krone Hotel,91,"0,89€","9,99€","Vampires, Traditional Roguelike, Turn-Based, Roguelike",Very Positive,95,497800,https://store.steampowered.com/app/497800/Golden_Krone_Hotel/
The Juicer,91,"0,97€","10,79€","Action, Indie, Psychological Horror, Shooter",Very Positive,95,400790,https://store.steampowered.com/app/400790/The_Juicer/
Sagrada,91,"0,73€","8,19€","Board Game, Tabletop, Strategy, Logic",Very Positive,94,965590,https://store.steampowered.com/app/965590/Sagrada/
ReThink | Evolved 2,91,"0,89€","9,99€","Puzzle, First-Person, Logic, Singleplayer",Very Positive,94,820600,https://store.steampowered.com/app/820600/ReThink__Evolved_2/
TOEM: A Photo Adventure,90,"1,95€","19,50€","Cozy, Wholesome, Puzzle, Adventure",Overwhelmingly Positive,99,1307580,https://store.steampowered.com/app/1307580/TOEM_A_Photo_Adventure/
The Binding of Isaac: Rebirth,90,"1,49€","14,99€","Action Roguelike, Roguelike, Indie, Replay Value",Overwhelmingly Positive,97,250900,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/
Hotline Miami,90,"0,97€","9,75€","Great Soundtrack, Violent, Action, Indie",Overwhelmingly Positive,96,219150,https://store.steampowered.com/app/219150/Hotline_Miami/
INSIDE,90,"2,29€","22,99€","2.5D, Puzzle Platformer, Atmospheric, Dark",Overwhelmingly Positive,96,304430,https://store.steampowered.com/app/304430/INSIDE/
Dishonored,90,"1,99€","19,99€","Stealth, First-Person, Assassins, Action",Overwhelmingly Positive,97,205100,https://store.steampowered.com/app/205100/Dishonored/
The Walking Dead,90,"1,47€","14,79€","Zombies, Story Rich, Adventure, Point & Click",Overwhelmingly Positive,97,207610,https://store.steampowered.com/app/207610/The_Walking_Dead/
The Last Campfire,90,"1,47€","14,79€","Puzzle, Adventure, Singleplayer, Cute",Overwhelmingly Positive,97,990630,https://store.steampowered.com/app/990630/The_Last_Campfire/
The Witcher 3: Wild Hunt,90,"2,99€","29,99€","Open World, RPG, Story Rich, Atmospheric",Overwhelmingly Positive,96,292030,https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/
Detroit: Become Human,90,"3,99€","39,99€","Choices Matter, Story Rich, Multiple Endings, Cinematic",Overwhelmingly Positive,95,1222140,https://store.steampowered.com/app/1222140/Detroit_Become_Human/
Castle Crashers®,90,"1,19€","11,99€","2D, Online Co-Op, Co-op, Beat 'em up",Overwhelmingly Positive,97,204360,https://store.steampowered.com/app/204360/Castle_Crashers/
Dishonored GOTY,90,"1,99€","19,99€","Action, Stealth, Adventure, Steampunk",Overwhelmingly Positive,96,"205100,208570,208575,212893,212894",https://store.steampowered.com/sub/31292/
Shadow Tactics: Blades of the Shogun,90,"3,99€","39,99€","Stealth, Strategy, Tactical, Ninja",Very Positive,94,418240,https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/
Cruelty Squad,90,"1,67€","16,79€","Capitalism, Surreal, Immersive Sim, FPS",Overwhelmingly Positive,96,1388770,https://store.steampowered.com/app/1388770/Cruelty_Squad/
shapez,90,"0,99€","9,99€","Automation, Base Building, Resource Management, Sandbox",Overwhelmingly Positive,96,1318690,https://store.steampowered.com/app/1318690/shapez/
Lakeview Cabin 2,90,"1,37€","13,79€","Horror, Survival Horror, Psychological Horror, Sandbox",Overwhelmingly Positive,96,1291790,https://store.steampowered.com/app/1291790/Lakeview_Cabin_2/
Don't Starve Together,90,"1,49€","14,99€","Survival, Open World Survival Craft, Multiplayer, Co-op",Overwhelmingly Positive,95,322330,https://store.steampowered.com/app/322330/Dont_Starve_Together/
Besiege,90,"1,47€","14,79€","Simulation, Sandbox, Physics, Destruction",Very Positive,94,346010,https://store.steampowered.com/app/346010/Besiege/
Killing Floor,90,"1,79€","17,99€","FPS, Zombies, Co-op, Survival",Overwhelmingly Positive,96,1250,https://store.steampowered.com/app/1250/Killing_Floor/
FAR: Lone Sails,90,"1,49€","14,99€","Atmospheric, Adventure, Post-apocalyptic, Singleplayer",Very Positive,93,609320,https://store.steampowered.com/app/609320/FAR_Lone_Sails/
Severed Steel,90,"2,09€","20,99€","FPS, Parkour, Bullet Time, Action",Overwhelmingly Positive,95,1227690,https://store.steampowered.com/app/1227690/Severed_Steel/
The Coma 2: Vicious Sisters,90,"1,49€","14,99€","Horror, Adventure, Indie, Singleplayer",Very Positive,93,1045720,https://store.steampowered.com/app/1045720/The_Coma_2_Vicious_Sisters/
Winds of Change,90,"1,99€","19,99€","Visual Novel, LGBTQ+, Story Rich, Romance",Overwhelmingly Positive,95,594130,https://store.steampowered.com/app/594130/Winds_of_Change/
Invincible Presents: Atom Eve,90,"0,97€","9,75€","Visual Novel, Adventure, Action, Female Protagonist",Overwhelmingly Positive,95,2060870,https://store.steampowered.com/app/2060870/Invincible_Presents_Atom_Eve/
Radical Rabbit Stew,90,"0,87€","8,79€","Indie, Action, Adventure, Puzzle",Very Positive,99,1232010,https://store.steampowered.com/app/1232010/Radical_Rabbit_Stew/
Rising Storm Game of the Year Edition,90,"2,49€","24,99€","Realistic, World War II, FPS, Action",Very Positive,98,234510,https://store.steampowered.com/app/234510/Rising_Storm_Game_of_the_Year_Edition/
CPU Invaders - 3i Atlas,90,"0,49€","4,95€","Funny, Casual, 2.5D, Action",Very Positive,98,4234170,https://store.steampowered.com/app/4234170/CPU_Invaders__3i_Atlas/
Guazu: The Rescue,90,"1,02€","10,25€","2D Platformer, Collectathon, Education, Platformer",Very Positive,98,1620920,https://store.steampowered.com/app/1620920/Guazu_The_Rescue/
Curse Crackers: For Whom the Belle Toils,90,"1,24€","12,49€","Fast-Paced, Platformer, Cartoony, Side Scroller",Very Positive,96,1726760,https://store.steampowered.com/app/1726760/Curse_Crackers_For_Whom_the_Belle_Toils/
Cosmo's Quickstop,90,"1,95€","19,50€","3D, Management, Time Management, Space",Very Positive,96,724680,https://store.steampowered.com/app/724680/Cosmos_Quickstop/
The God Unit,90,"0,97€","9,75€","Logic, Puzzle, Physics, First-Person",Very Positive,96,1204440,https://store.steampowered.com/app/1204440/The_God_Unit/
Beyond The Edge Of Owlsgard,90,"2,45€","24,50€","Point & Click, Adventure, Cute, Pixel Graphics",Very Positive,95,1709730,https://store.steampowered.com/app/1709730/Beyond_The_Edge_Of_Owlsgard/
Bug Academy,90,"0,97€","9,75€","Casual, Indie, Funny, Singleplayer",Very Positive,95,881040,https://store.steampowered.com/app/881040/Bug_Academy/
Little Friends: Puppy Island,90,"3,99€","39,99€","Indie, Family Friendly, Casual, Colorful",Very Positive,95,2172900,https://store.steampowered.com/app/2172900/Little_Friends_Puppy_Island/
Time Rift,90,"0,99€","9,99€","Puzzle, Time Manipulation, Retro, Controller",Very Positive,95,1257660,https://store.steampowered.com/app/1257660/Time_Rift/
Plague Inc: Evolved,90,"1,47€","14,79€","Strategy, Simulation, Outbreak Sim, Indie",Very Positive,93,246620,https://store.steampowered.com/app/246620/Plague_Inc_Evolved/
Rain World,90,"2,37€","23,79€","Difficult, Atmospheric, Survival, Exploration",Overwhelmingly Positive,95,312520,https://store.steampowered.com/app/312520/Rain_World/
CARRION,90,"1,95€","19,50€","Gore, Villain Protagonist, Pixel Graphics, Action",Very Positive,94,953490,https://store.steampowered.com/app/953490/CARRION/
Sonic Mania,90,"1,99€","19,99€","Great Soundtrack, 2D, Platformer, Retro",Very Positive,93,584400,https://store.steampowered.com/app/584400/Sonic_Mania/
Call of Juarez: Gunslinger,90,"1,24€","12,49€","Western, FPS, Action, Singleplayer",Very Positive,94,204450,https://store.steampowered.com/app/204450/Call_of_Juarez_Gunslinger/
Scribblenauts Unlimited,90,"1,99€","19,99€","Puzzle, Casual, Adventure, Sandbox",Very Positive,93,218680,https://store.steampowered.com/app/218680/Scribblenauts_Unlimited/
Crazy Machines 3,90,"0,99€","9,99€","Simulation, Puzzle, Physics, Strategy",Very Positive,93,351920,https://store.steampowered.com/app/351920/Crazy_Machines_3/
Freedom Fighters,90,"1,49€","14,99€","Action, Third-Person Shooter, Shooter, Cold War",Very Positive,94,1347780,https://store.steampowered.com/app/1347780/Freedom_Fighters/
Swarmlake,90,"0,49€","4,99€","Action, FPS, Fast-Paced, Shooter",Very Positive,94,793350,https://store.steampowered.com/app/793350/Swarmlake/
Lakeview Cabin Collection,90,"0,99€","9,99€","Survival Horror, 2D Platformer, Puzzle Platformer, Perma Death",Very Positive,94,361990,https://store.steampowered.com/app/361990/Lakeview_Cabin_Collection/
The Big Con,90,"1,47€","14,79€","1990's, Crime, Comedy, Indie",Very Positive,94,1139280,https://store.steampowered.com/app/1139280/The_Big_Con/
Splasher,90,"1,49€","14,99€","Indie, Action, Platformer, Controller",Very Positive,94,446840,https://store.steampowered.com/app/446840/Splasher/
Paper Beast,90,"1,99€","19,99€","Adventure, Exploration, VR, Nature",Very Positive,94,1232570,https://store.steampowered.com/app/1232570/Paper_Beast/
Micro Mages,90,"0,89€","8,99€","Indie, Action, 2D Platformer, Singleplayer",Very Positive,94,1065020,https://store.steampowered.com/app/1065020/Micro_Mages/
Grotto,90,"1,07€","10,79€","Choices Matter, Interactive Fiction, Multiple Endings, Immersive Sim",Very Positive,94,1538850,https://store.steampowered.com/app/1538850/Grotto/
Piczle Cross Adventure,90,"0,99€","9,99€","Casual, Indie, Adventure, Action",Very Positive,94,1215320,https://store.steampowered.com/app/1215320/Piczle_Cross_Adventure/
Andro Dunos II,90,"1,49€","14,99€","Shoot 'Em Up, Bullet Hell, Action, Arcade",Very Positive,94,1856900,https://store.steampowered.com/app/1856900/Andro_Dunos_II/
Forklift Extreme: Deluxe Edition,90,"0,99€","9,99€","Simulation, Automobile Sim, Physics, Driving",Very Positive,94,2136950,https://store.steampowered.com/app/2136950/Forklift_Extreme_Deluxe_Edition/
Grim Dawn,90,"2,49€","24,99€","Action RPG, Hack and Slash, Loot, Isometric",Overwhelmingly Positive,95,219990,https://store.steampowered.com/app/219990/Grim_Dawn/
A Plague Tale: Innocence,90,"3,99€","39,99€","Story Rich, Adventure, Stealth, Female Protagonist",Very Positive,93,752590,https://store.steampowered.com/app/752590/A_Plague_Tale_Innocence/
Hitman: Absolution™,90,"1,99€","19,99€","Stealth, Action, Assassins, Third Person",Very Positive,88,203140,https://store.steampowered.com/app/203140/Hitman_Absolution/
Bloodstained: Ritual of the Night,90,"3,99€","39,99€","Metroidvania, Female Protagonist, RPG, Action",Very Positive,92,692850,https://store.steampowered.com/app/692850/Bloodstained_Ritual_of_the_Night/
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,90,"2,49€","24,99€","World War II, Realistic, Multiplayer, FPS",Very Positive,93,35450,https://store.steampowered.com/app/35450/Red_Orchestra_2_Heroes_of_Stalingrad_with_Rising_Storm/
Hitman: Blood Money,90,"0,97€","9,75€","Stealth, Action, Assassins, Singleplayer",Very Positive,94,6860,https://store.steampowered.com/app/6860/Hitman_Blood_Money/
Bendy and the Dark Revival,90,"1,89€","18,99€","Horror, Singleplayer, Action, First-Person",Very Positive,92,1063660,https://store.steampowered.com/app/1063660/Bendy_and_the_Dark_Revival/
Do Not Feed the Monkeys,90,"1,57€","15,79€","Point & Click, Political Sim, Management, Dark Humor",Very Positive,91,658850,https://store.steampowered.com/app/658850/Do_Not_Feed_the_Monkeys/
Serious Sam HD: The First Encounter,90,"1,49€","14,99€","FPS, Action, Co-op, Shooter",Very Positive,91,41000,https://store.steampowered.com/app/41000/Serious_Sam_HD_The_First_Encounter/
Zombie Night Terror,90,"1,27€","12,79€","Zombies, Strategy, Pixel Graphics, Indie",Very Positive,92,416680,https://store.steampowered.com/app/416680/Zombie_Night_Terror/
Kathy Rain,90,"0,99€","9,99€","Point & Click, Adventure, Pixel Graphics, Female Protagonist",Very Positive,93,370910,https://store.steampowered.com/app/370910/Kathy_Rain/
Dropsy,90,"0,97€","9,75€","Point & Click, Adventure, 2D, Great Soundtrack",Very Positive,93,274350,https://store.steampowered.com/app/274350/Dropsy/
UBERMOSH Vol.5,90,"0,49€","4,99€","Indie, Action, Arcade, Fast-Paced",Very Positive,93,640380,https://store.steampowered.com/app/640380/UBERMOSH_Vol5/
UBERMOSH:WRAITH,90,"0,49€","4,99€","Action, Indie, Arcade, Fast-Paced",Very Positive,93,586350,https://store.steampowered.com/app/586350/UBERMOSHWRAITH/
Octahedron: Transfixed Edition,90,"1,29€","12,99€","Great Soundtrack, Platformer, Indie, Precision Platformer",Very Positive,93,434660,https://store.steampowered.com/app/434660/Octahedron_Transfixed_Edition/
Disco Elysium - The Final Cut,90,"3,79€","37,99€","RPG, Story Rich, Choices Matter, Detective",Very Positive,92,632470,https://store.steampowered.com/app/632470/Disco_Elysium__The_Final_Cut/
Frostpunk,90,"2,99€","29,99€","City Builder, Survival, Resource Management, Strategy",Very Positive,92,323190,https://store.steampowered.com/app/323190/Frostpunk/
Assetto Corsa Competizione,90,"3,99€","39,99€","Racing, Automobile Sim, Simulation, VR",Very Positive,92,805550,https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione/
Shadow Warrior,90,"2,89€","28,99€","Action, FPS, Gore, Swordplay",Very Positive,93,233130,https://store.steampowered.com/app/233130/Shadow_Warrior/
Rogue Legacy,90,"1,47€","14,79€","Platformer, Roguelike, Indie, Action Roguelike",Very Positive,91,241600,https://store.steampowered.com/app/241600/Rogue_Legacy/
Car Mechanic Simulator 2015,90,"1,95€","19,50€","Automobile Sim, Simulation, Singleplayer, Building",Very Positive,89,320300,https://store.steampowered.com/app/320300/Car_Mechanic_Simulator_2015/
Barony,90,"1,95€","19,50€","Multiplayer, Dungeon Crawler, Roguelike, Action Roguelike",Very Positive,91,371970,https://store.steampowered.com/app/371970/Barony/
UBERMOSH,90,"0,49€","4,99€","Cyberpunk, Pixel Graphics, Action, Great Soundtrack",Very Positive,93,357070,https://store.steampowered.com/app/357070/UBERMOSH/
Out There Somewhere,90,"0,97€","9,75€","Platformer, Pixel Graphics, Indie, Puzzle",Very Positive,91,263980,https://store.steampowered.com/app/263980/Out_There_Somewhere/
Emily is Away <3,90,"0,81€","8,19€","Choices Matter, Simulation, Dating Sim, Indie",Very Positive,91,978460,https://store.steampowered.com/app/978460/Emily_is_Away_3/
Ken Follett's The Pillars of the Earth,90,"1,99€","19,99€","Choices Matter, Story Rich, Point & Click, Visual Novel",Very Positive,92,234270,https://store.steampowered.com/app/234270/Ken_Folletts_The_Pillars_of_the_Earth/
Cave Story+,90,"1,49€","14,99€","Exploration, Metroidvania, Difficult, Platformer",Very Positive,91,200900,https://store.steampowered.com/app/200900/Cave_Story/
Serious Sam Fusion 2017 (beta),90,"1,49€","14,99€","Action, Gore, FPS, Violent",Very Positive,91,564310,https://store.steampowered.com/app/564310/Serious_Sam_Fusion_2017_beta/
Going Under,90,"1,99€","19,99€","Action Roguelike, Dungeon Crawler, Beat 'em up, Roguelite",Very Positive,92,1154810,https://store.steampowered.com/app/1154810/Going_Under/
The Adventure Pals,90,"1,47€","14,79€","Adventure, Platformer, Action, Indie",Very Positive,92,396710,https://store.steampowered.com/app/396710/The_Adventure_Pals/
Doll Impostor,90,"1,22€","12,25€","Strategy, Action, Adventure, Walking Simulator",Very Positive,92,2882870,https://store.steampowered.com/app/2882870/Doll_Impostor/
Old School Musical,90,"1,29€","12,99€","Indie, Action, Adventure, Rhythm",Very Positive,92,398030,https://store.steampowered.com/app/398030/Old_School_Musical/
Anarcute,90,"1,49€","14,99€","Cute, Action, Indie, Destruction",Very Positive,92,390720,https://store.steampowered.com/app/390720/Anarcute/
Lords of Magic: Special Edition,90,"1,27€","12,79€","Strategy, RPG, Dwarves, Classic",Very Positive,92,404040,https://store.steampowered.com/app/404040/Lords_of_Magic_Special_Edition/
Electronauts - VR Music,90,"1,67€","16,79€","Casual, Music, VR, Indie",Very Positive,92,691160,https://store.steampowered.com/app/691160/Electronauts__VR_Music/
Ninjin: Clash of Carrots,90,"0,99€","9,99€","Action, Adventure, Co-op, Multiplayer",Very Positive,92,809870,https://store.steampowered.com/app/809870/Ninjin_Clash_of_Carrots/
Fly'N,90,"0,99€","9,99€","Platformer, Indie, 2D, Adventure",Very Positive,92,223730,https://store.steampowered.com/app/223730/FlyN/
First Racer,90,"0,49€","4,99€","Racing, Automobile Sim, Multiplayer, Casual",Very Positive,92,1364690,https://store.steampowered.com/app/1364690/First_Racer/
Tomboy Adventure,90,"0,99€","9,99€","VR, Cute, Anime, Dating Sim",Very Positive,92,1970060,https://store.steampowered.com/app/1970060/Tomboy_Adventure/
Gigapocalypse,90,"0,99€","9,99€","Action, Casual, Arcade, 2D",Very Positive,92,1543240,https://store.steampowered.com/app/1543240/Gigapocalypse/
RUN: The world in-between,90,"0,99€","9,99€","Precision Platformer, Action, Adventure, Procedural Generation",Very Positive,92,1548940,https://store.steampowered.com/app/1548940/RUN_The_world_inbetween/
Sizeable,89,"0,79€","7,19€","Casual, Puzzle, Hidden Object, Indie",Overwhelmingly Positive,96,1333910,https://store.steampowered.com/app/1333910/Sizeable/
Neon,89,"0,54€","4,99€","Casual, Action, Puzzle, Arcade",Very Positive,96,1505460,https://store.steampowered.com/app/1505460/Neon/
DROS,89,"1,07€","9,75€","Indie, 3D, Fantasy, Combat",Very Positive,94,1554650,https://store.steampowered.com/app/1554650/DROS/
Lithium City,89,"0,85€","7,79€","Cyberpunk, Twin Stick Shooter, Isometric, Beat 'em up",Very Positive,92,1210610,https://store.steampowered.com/app/1210610/Lithium_City/
Pocket Kingdom,89,"0,76€","6,99€","Indie, Adventure, Puzzle, Pixel Graphics",Very Positive,92,462620,https://store.steampowered.com/app/462620/Pocket_Kingdom/
Black Gunner Wukong,88,"0,73€","6,15€","Shoot 'Em Up, Action Roguelike, Looter Shooter, Third-Person Shooter",Very Positive,98,2270750,https://store.steampowered.com/app/2270750/Black_Gunner_Wukong/
A Walk With Yiayia,88,"0,93€","7,79€","Adventure, Walking Simulator, Casual, Visual Novel",Very Positive,98,1629940,https://store.steampowered.com/app/1629940/A_Walk_With_Yiayia/
Mediterranea Inferno,88,"1,79€","14,99€","LGBTQ+, Visual Novel, Choose Your Own Adventure, Horror",Very Positive,96,2103680,https://store.steampowered.com/app/2103680/Mediterranea_Inferno/
Dungeons of Dreadrock,88,"0,70€","5,89€","Indie, Old School, Mystery Dungeon, Puzzle",Very Positive,94,1896880,https://store.steampowered.com/app/1896880/Dungeons_of_Dreadrock/
Letter Quest: Grimm's Journey Remastered,88,"0,77€","6,49€","Casual, Spelling, Indie, Typing",Very Positive,93,373970,https://store.steampowered.com/app/373970/Letter_Quest_Grimms_Journey_Remastered/
Quell Reflect,88,"0,95€","7,99€","Indie, Puzzle, Relaxing, Casual",Very Positive,93,348430,https://store.steampowered.com/app/348430/Quell_Reflect/
EDGE,88,"0,82€","6,89€","Puzzle Platformer, Puzzle, Indie, Action",Very Positive,92,38740,https://store.steampowered.com/app/38740/EDGE/
Infested Planet,87,"1,62€","12,49€","Strategy, Tower Defense, Action, RTS",Very Positive,94,204530,https://store.steampowered.com/app/204530/Infested_Planet/
My Big Sister,87,"0,76€","5,89€","Indie, Adventure, Pixel Graphics, Story Rich",Very Positive,93,733300,https://store.steampowered.com/app/733300/My_Big_Sister/
Svoboda 1945: Liberation,86,"1,95€","13,99€","Dialogue Heavy, Singleplayer, Visual Novel, Emotional",Very Positive,98,1076620,https://store.steampowered.com/app/1076620/Svoboda_1945_Liberation/
City Zoomer,86,"0,69€","4,99€","3D Platformer, Runner, FPS, Flight",Very Positive,94,1745790,https://store.steampowered.com/app/1745790/City_Zoomer/
DISTRAINT: Deluxe Edition,86,"0,69€","4,99€","Indie, Psychological Horror, Horror, Pixel Graphics",Very Positive,90,395170,https://store.steampowered.com/app/395170/DISTRAINT_Deluxe_Edition/
Orbox C,86,"0,72€","5,19€","Casual, Puzzle, Adventure, Space",Very Positive,93,544180,https://store.steampowered.com/app/544180/Orbox_C/
Devil May Cry 5,85,"4,49€","29,99€","Action, Hack and Slash, Great Soundtrack, Character Action Game",Overwhelmingly Positive,95,601150,https://store.steampowered.com/app/601150/Devil_May_Cry_5/
Batman: Arkham Asylum Game of the Year Edition,85,"2,99€","19,99€","Action, Stealth, Third Person, Superhero",Overwhelmingly Positive,96,35140,https://store.steampowered.com/app/35140/Batman_Arkham_Asylum_Game_of_the_Year_Edition/
Majotori,85,"0,89€","5,99€","Trivia, Multiple Endings, Nonlinear, Dark Humor",Overwhelmingly Positive,96,588730,https://store.steampowered.com/app/588730/Majotori/
Serious Sam Classic: The Second Encounter,85,"0,88€","5,89€","Action, FPS, Classic, Gore",Overwhelmingly Positive,96,41060,https://store.steampowered.com/app/41060/Serious_Sam_Classic_The_Second_Encounter/
Titanfall® 2,85,"4,49€","29,99€","FPS, Mechs, Multiplayer, Shooter",Overwhelmingly Positive,95,1237970,https://store.steampowered.com/app/1237970/Titanfall_2/
Tomb Raider Game of the Year,85,"2,99€","19,99€","Adventure, Action, Female Protagonist, Third Person",Very Positive,94,203160,https://store.steampowered.com/app/203160/Tomb_Raider_Game_of_the_Year/
Car Mechanic Simulator 2021,85,"3,67€","24,50€","Simulation, Automobile Sim, Realistic, Sandbox",Overwhelmingly Positive,95,1190000,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/
The Talos Principle,85,"4,34€","28,99€","Puzzle, Philosophical, First-Person, Sci-fi",Overwhelmingly Positive,95,257510,https://store.steampowered.com/app/257510/The_Talos_Principle/
SteamWorld Dig 2,85,"2,99€","19,99€","Adventure, Metroidvania, Indie, Action",Overwhelmingly Positive,95,571310,https://store.steampowered.com/app/571310/SteamWorld_Dig_2/
Serious Sam Classic: The First Encounter,85,"0,88€","5,89€","Action, FPS, Classic, Shooter",Overwhelmingly Positive,95,41050,https://store.steampowered.com/app/41050/Serious_Sam_Classic_The_First_Encounter/
Battle Chef Brigade Deluxe,85,"2,99€","19,99€","Action, RPG, Indie, Adventure",Overwhelmingly Positive,95,452570,https://store.steampowered.com/app/452570/Battle_Chef_Brigade_Deluxe/
Sumire,85,"0,88€","5,89€","Choose Your Own Adventure, Exploration, Collectathon, Interactive Fiction",Overwhelmingly Positive,95,1335230,https://store.steampowered.com/app/1335230/Sumire/
Pulling No Punches,85,"1,22€","8,19€","Beat 'em up, Action, Hack and Slash, Character Action Game",Overwhelmingly Positive,95,1425760,https://store.steampowered.com/app/1425760/Pulling_No_Punches/
SuperQuest,85,"1,46€","9,75€","Comedy, Turn-Based, Adventure, Story Rich",Very Positive,100,3488200,https://store.steampowered.com/app/3488200/SuperQuest/
Crystal Caves HD,85,"0,98€","6,59€","Retro, Puzzle Platformer, Platformer, 2D Platformer",Very Positive,98,1330890,https://store.steampowered.com/app/1330890/Crystal_Caves_HD/
Secret Agent HD,85,"0,98€","6,59€","Action, Adventure, Puzzle Platformer, Platformer",Very Positive,98,1607670,https://store.steampowered.com/app/1607670/Secret_Agent_HD/
We are Eva,85,"2,21€","14,79€","Precision Platformer, Difficult, Platformer, 2D Platformer",Very Positive,97,1490590,https://store.steampowered.com/app/1490590/We_are_Eva/
Doughlings: Arcade,85,"0,74€","4,99€","Indie, Action, Arcade, Level Editor",Very Positive,96,747470,https://store.steampowered.com/app/747470/Doughlings_Arcade/
Monster Bash HD,85,"1,22€","8,19€","Action, Adventure, Action-Adventure, Platformer",Very Positive,95,459840,https://store.steampowered.com/app/459840/Monster_Bash_HD/
Batman: Arkham Collection,85,"8,99€","59,99€","Action, Stealth, Open World, Superhero",Very Positive,94,"35140,200260,208650,367480",https://store.steampowered.com/sub/320795/
Rise of the Tomb Raider™,85,"4,49€","29,99€","Adventure, Action, Female Protagonist, Singleplayer",Very Positive,92,391220,https://store.steampowered.com/app/391220/Rise_of_the_Tomb_Raider/
Hotline Miami 2: Wrong Number,85,"2,21€","14,79€","Great Soundtrack, Gore, Pixel Graphics, Violent",Very Positive,92,274170,https://store.steampowered.com/app/274170/Hotline_Miami_2_Wrong_Number/
Spiritfarer®: Farewell Edition,85,"4,34€","28,99€","Emotional, Story Rich, Indie, Management",Very Positive,94,972660,https://store.steampowered.com/app/972660/Spiritfarer_Farewell_Edition/
SteamWorld Dig,85,"1,49€","9,99€","Platformer, Mining, Metroidvania, Steampunk",Very Positive,93,252410,https://store.steampowered.com/app/252410/SteamWorld_Dig/
Space Rangers HD: A War Apart,85,"2,24€","14,99€","Space, RPG, Strategy, Adventure",Very Positive,87,214730,https://store.steampowered.com/app/214730/Space_Rangers_HD_A_War_Apart/
The Cat Lady,85,"1,31€","8,79€","Horror, Story Rich, Adventure, Psychological Horror",Very Positive,92,253110,https://store.steampowered.com/app/253110/The_Cat_Lady/
Gato Roboto,85,"1,16€","7,79€","Indie, Metroidvania, Action, Pixel Graphics",Very Positive,94,916730,https://store.steampowered.com/app/916730/Gato_Roboto/
Lara Croft GO,85,"1,49€","9,99€","Puzzle, Adventure, Female Protagonist, Turn-Based",Very Positive,92,540840,https://store.steampowered.com/app/540840/Lara_Croft_GO/
Endling - Extinction is Forever,85,"4,49€","29,99€","Emotional, Adventure, Atmospheric, Indie",Very Positive,94,898890,https://store.steampowered.com/app/898890/Endling__Extinction_is_Forever/
Downfall,85,"1,31€","8,79€","Adventure, Indie, Psychological Horror, Story Rich",Very Positive,94,364390,https://store.steampowered.com/app/364390/Downfall/
Lucius Demake,85,"0,74€","4,99€","Adventure, Indie, Gore, Retro",Very Positive,94,364230,https://store.steampowered.com/app/364230/Lucius_Demake/
Ad Fundum,85,"1,03€","6,89€","Mining, Collectathon, Underground, Steampunk",Very Positive,94,2647820,https://store.steampowered.com/app/2647820/Ad_Fundum/
DATE A LIVE: Ren Dystopia,85,"8,84€","58,99€","Visual Novel, Dating Sim, Anime, Romance",Very Positive,94,2627780,https://store.steampowered.com/app/2627780/DATE_A_LIVE_Ren_Dystopia/
